timestamp,halow_rssi_dbm,halow_noise_dbm,halow_tx_rate_mbps,halow_rx_rate_mbps,halow_tx_bytes,halow_rx_bytes,halow_retries,halow_drops,halow_channel_active_ms,halow_channel_busy_ms,halow_channel_busy_pct
2025-12-06T13:35:33.716891,-20.0,-82.0,13.9,,4234492,452558,,2,,,
2025-12-06T13:35:36.824618,-20.0,-82.0,13.9,,4234492,452558,,2,,,
2025-12-06T13:35:40.035408,-20.0,-82.0,13.9,,4234492,452558,,2,,,
2025-12-06T13:35:43.298764,-20.0,-82.0,13.9,,4234492,452558,,2,,,
2025-12-06T13:35:46.608312,-20.0,-80.0,13.9,,4234492,452558,,2,,,
2025-12-06T13:35:49.865838,-21.0,-82.0,11.1,,4234922,452558,,2,,,
2025-12-06T13:35:52.968280,-22.0,-82.0,13.9,,4235008,452558,,2,,,
2025-12-06T13:35:56.201851,-21.0,-82.0,13.9,,4235008,452648,,2,,,
2025-12-06T13:35:59.612382,-21.0,-82.0,13.9,,4235008,452648,,2,,,
2025-12-06T13:36:02.688447,-21.0,-80.0,13.9,,4235094,452690,,2,,,
2025-12-06T13:36:05.990915,-21.0,-82.0,13.9,,4235094,452690,,2,,,
2025-12-06T13:36:09.909496,-22.0,-82.0,13.9,,4235180,452690,,2,,,
2025-12-06T13:36:13.589566,-21.0,-82.0,13.9,,4235666,452854,,2,,,
2025-12-06T13:36:16.752193,-21.0,-82.0,13.9,,4235752,452896,,2,,,
2025-12-06T13:36:20.020798,-22.0,-80.0,12.3,,4236010,452896,,2,,,
2025-12-06T13:36:23.285127,-22.0,-82.0,12.3,,4236010,452896,,2,,,
2025-12-06T13:36:26.727465,-22.0,-82.0,12.3,,4236010,452896,,2,,,
2025-12-06T13:36:29.954971,-22.0,-78.0,12.3,,4236010,452896,,2,,,
2025-12-06T13:36:32.984780,-22.0,-82.0,12.3,,4236010,452896,,2,,,
2025-12-06T13:36:36.067199,-22.0,-80.0,12.3,,4236010,452896,,2,,,
2025-12-06T13:36:39.847984,-19.0,-80.0,12.3,,4236182,452896,,2,,,
2025-12-06T13:36:42.923108,-23.0,-82.0,12.3,,4236268,452896,,2,,,
2025-12-06T13:36:45.980610,-23.0,-82.0,12.3,,4236268,452896,,2,,,
2025-12-06T13:36:49.063123,-23.0,-82.0,12.3,,4236268,452896,,2,,,
